gold_canonical_key,domain_gold_df_fit,max_domain_gold_df_fit,fit_record_count
말뭉치,3,18,748
말뭉치 기반 분석,1,18,748
말뭉치 분석,1,18,748
말뭉치 언어학,1,18,748
말하기 교육,1,18,748
말하기 능력,1,18,748
말하기 평가,1,18,748
말하기평가,1,18,748
맛 어휘,1,18,748
맛 형용사,1,18,748
매개,1,18,748
매개 모음,1,18,748
매개효과,1,18,748
매국,1,18,748
매체,1,18,748
매체 문식성,1,18,748
매체 텍스트 읽기,1,18,748
매체장르,1,18,748
매체학,1,18,748
맥락,3,18,748
맥락 적절성,1,18,748
맥락의 구성,1,18,748
맥락의 작용,1,18,748
맥락의 표상,1,18,748
맥락적 요인,1,18,748
맥락적 의미,1,18,748
맥락화 단서,1,18,748
맹목적 추동력,1,18,748
머신 러닝,1,18,748
멀티미디어,1,18,748
멀티미디어 텍스트,1,18,748
메신저 코퍼스,1,18,748
메타 담화적 서술화,1,18,748
메타 차원,1,18,748
메타-인식론,1,18,748
메타버스,4,18,748
메타볼,1,18,748
메타볼 유형,1,18,748
메타분석,1,18,748
메타언어 피드백,1,18,748
메타텍스트,1,18,748
메타퍼,1,18,748
메타포,1,18,748
멜로영화,1,18,748
면에 대한 생각,1,18,748
명령문,1,18,748
명령자질의 어휘범주와 기능법주의 인접성,1,18,748
명령형 종결어미,1,18,748
명사,1,18,748
명사 종결 형식,1,18,748
명사 파생 접미사,1,18,748
명사구 보문 구성,1,18,748
명사문,3,18,748
명사적 후치사. 동사적 후치사,1,18,748
명사절,1,18,748
명사절 기능의 의문형 종결 어미,1,18,748
명사절 상당 구성,1,18,748
명사형 어미 -(으)ㅁ,1,18,748
명사화,1,18,748
명사화소,2,18,748
명성황후언간체,1,18,748
명제문,1,18,748
명품패션브랜드,1,18,748
모국어 배경,1,18,748
모국어 전이,1,18,748
모더니즘,1,18,748
모더니티,1,18,748
모델화,1,18,748
모두를 위한 불멸,1,18,748
모바일 기반,1,18,748
모바일 메신저 대화,1,18,748
모바일 미디어,1,18,748
모바일 스토리텔링,1,18,748
모바일 어플리케이션,1,18,748
모바일폰,1,18,748
